# per-window evidence behind the reported selection
# estimator=phase reference=first looks=128 overlap=0.9 dt_s=0.239889707667 t_sap_s=2.39909322525
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=10 coherence_min=0 inject_vib=yes
# consensus_hz=0.162835247831 agree=10 voting=25 distinct=7 largest_block=9
# df_hz=0.0325670495661 quant_px=0 coherence_gate=0.498667942802 floor_px=0 n_win_az=5 n_win_rg=5
# cull_hz=0.162835247831 agree=9 input=25 survivors=9 snr_cull=0 sigma_cull=0 neigh_cull=16 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.106106378959 median=0.517681501545 n_meeting_0.25=9
# passed_cull_source=selector expected_sum=9
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull
0,0,0,0.162835247831,13.1779142638,0.691860043892,0,0,0,0.547971270453,1,1,0
1,0,1,1.43295018091,5.78258627768,0.94918571486,0,0,0,2.43596567143,1,0,0
2,0,2,1.43295018091,5.78258627768,0.946778852714,0,0,0,2.43596567143,1,0,0
3,0,3,0.130268198265,14.1229093481,0.677391304411,0,0,0,0.56243965339,1,0,0
4,0,4,0.260536396529,5.73713892029,0.680353665449,0,0,0,0.649287936222,1,0,0
5,1,0,0.195402297397,16.4866646559,0.673063135571,0,0,0,0.500054261131,1,0,0
6,1,1,0.162835247831,35.0809816573,0.994855435996,0,0,0,0.106323352728,1,1,1
7,1,2,0.162835247831,35.0809816573,0.994147636215,0,0,0,0.106323352728,1,1,1
8,1,3,0.162835247831,45.3087229985,0.997043795921,0,0,0,0.116469699178,1,1,1
9,1,4,0.260536396529,5.73713892029,0.713733865394,0,0,0,0.649287936222,1,0,0
10,2,0,0.195402297397,16.4866646559,0.692362359247,0,0,0,0.500054261131,1,0,0
11,2,1,0.162835247831,35.0809816573,0.994385292173,0,0,0,0.106323352728,1,1,1
12,2,2,0.162835247831,35.0809816573,0.990541055599,0,0,0,0.106323352728,1,1,1
13,2,3,0.162835247831,44.4390762392,0.994085496602,0,0,0,0.115779296493,1,1,1
14,2,4,0.130268198265,18.1436518241,0.725433760309,0,0,0,0.631904513249,1,0,0
15,3,0,0.130268198265,9.38803857282,0.64447163193,0,0,0,0.565702891311,1,0,0
16,3,1,0.162835247831,34.3801850387,0.997335885603,0,0,0,0.106106378959,1,1,1
17,3,2,0.162835247831,44.4390762392,0.994007582964,0,0,0,0.115779296493,1,1,1
18,3,3,0.162835247831,44.4390762392,0.994656745258,0,0,0,0.115779296493,1,1,1
19,3,4,0.130268198265,16.9665612573,0.641285342405,0,0,0,0.517681501545,1,0,0
20,4,0,0.130268198265,9.38803857282,0.653015317688,0,0,0,0.565702891311,1,0,0
21,4,1,0.846743288719,5.51997252583,0.653211870739,0,0,0,1.8217245421,1,0,0
22,4,2,1.49808428004,9.5565013583,0.953428694629,0,0,0,2.26992623497,1,0,0
23,4,3,1.49808428004,9.5565013583,0.953038556052,0,0,0,2.26992623497,1,0,0
24,4,4,0.195402297397,4.90791412375,0.655235698541,0,0,0,0.501175098152,1,0,0
