# raw tracked shifts, before detrend or spectrum
# reference=first b_shift_hz=0 pair_lag_s=0 dt_s=0.044756208 looks=128
window,look,centre_time_s,disp_az_px,disp_rg_px,vel_los_ms,disp_los_m,phase_rad,quality
0,0,0.223933272,0,0,0,-0.000539075117,0.210146129,0.805548
0,1,0.26868948,0,0,0.0140754811,9.08900444e-05,-0.0354314092,0.805548
0,2,0.313445688,0,0,-0.000147096913,8.43065443e-05,-0.0328649819,0.805548
0,3,0.358201896,0,0,0.000922748834,0.000125605283,-0.0489643525,0.805548
0,4,0.402958104,0,0,0.011252844,0.000629239908,-0.245294815,0.805548
0,5,0.447714312,0,0,0.0027654952,0.000753012986,-0.293544924,0.805548
0,6,0.49247052,0,0,-0.00688853305,0.000444708368,-0.173359406,0.805548
0,7,0.537226728,0,0,-0.00747959257,0.000109950167,-0.0428615629,0.805548
0,8,0.581982936,0,0,0.00908764539,0.000516678715,-0.201415403,0.805548
0,9,0.626739144,0,0,-0.00495451127,0.000294933578,-0.114973123,0.805548
0,10,0.671495352,0,0,-0.00381975396,0.000123975875,-0.048329165,0.805548
0,11,0.71625156,0,0,-0.00092460297,8.25941521e-05,-0.0321974449,0.805548
0,12,0.761007768,0,0,0.000591979752,0.000109088921,-0.0425258258,0.805548
0,13,0.805763976,0,0,0.000909310806,0.000149786225,-0.0583907406,0.805548
0,14,0.850520184,0,0,0.00243959968,0.000258973455,-0.10095489,0.805548
0,15,0.895276392,0,0,0.00158765121,0.000330030703,-0.128654936,0.805548
0,16,0.9400326,0,0,0.00260195351,0.000446484275,-0.174051703,0.805548
0,17,0.984788808,0,0,0.00402105321,0.000626451369,-0.244207767,0.805548
0,18,1.02954502,0,0,-0.00971335898,0.000191718254,-0.0747369853,0.805548
0,19,1.07430122,0,0,-0.00158556315,0.00012075446,-0.04707337,0.805548
0,20,1.11905743,0,0,0.00571138812,0.000376374535,-0.146721021,0.805548
0,21,1.16381364,0,0,-0.00566142523,0.00012299061,-0.0479450819,0.805548
0,22,1.20856985,0,0,0.00475714211,0.000335902252,-0.130943826,0.805548
0,23,1.25332606,0,0,0.00118306654,0.000388851824,-0.151585008,0.805548
0,24,1.29808226,0,0,-0.00283820446,0.000261824555,-0.102066326,0.805548
0,25,1.34283847,0,0,0.000954294806,0.000304535172,-0.118716085,0.805548
0,26,1.38759468,0,0,0.0054227373,0.00054723633,-0.213327592,0.805548
0,27,1.43235089,0,0,-0.00652081915,0.000255389192,-0.0995576469,0.805548
0,28,1.4771071,0,0,0.00416835475,0.000441948944,-0.172283708,0.805548
0,29,1.5218633,0,0,0.0113758657,0.000951089554,-0.370760553,0.805548
0,30,1.56661951,0,0,-0.00647404868,0.000661335685,-0.257806621,0.805548
0,31,1.61137572,0,0,-0.00628977797,0.000379829074,-0.148067694,0.805548
0,32,1.65613193,0,0,0.0057965312,0.00063925983,-0.249200853,0.805548
0,33,1.70088814,0,0,0.00768421424,0.000983176121,-0.383268769,0.805548
0,34,1.74564434,0,0,-0.0223895405,-1.8894813e-05,0.00736571154,0.805548
0,35,1.79040055,0,0,-0.00645411928,-0.000307756718,0.119971932,0.805548
0,36,1.83515676,0,0,0.0048149885,-9.22560914e-05,0.0359639314,0.805548
0,37,1.87991297,0,0,-0.00383028563,-0.000263685152,0.102791637,0.805548
0,38,1.92466918,0,0,0.000769293153,-0.000229254507,0.0893696367,0.805548
0,39,1.96942538,0,0,-0.000618438383,-0.000256933464,0.100159646,0.805548
0,40,2.01418159,0,0,-0.0018774115,-0.000340959284,0.132915194,0.805548
0,41,2.0589378,0,0,0.00394949554,-0.00016419484,0.0640076104,0.805548
0,42,2.10369401,0,0,-0.00408874232,-0.000347191442,0.135344659,0.805548
0,43,2.14845022,0,0,-0.006655188,-0.00064505242,0.251458962,0.805548
0,44,2.19320642,0,0,-0.00220684642,-0.000743822498,0.289962222,0.805548
0,45,2.23796263,0,0,0.00431081664,-0.000550886691,0.214750602,0.805548
0,46,2.28271884,0,0,-0.00993872492,-0.000995706331,0.388153385,0.805548
0,47,2.32747505,0,0,-0.0133572291,-0.00159352525,0.621199447,0.805548
0,48,2.37223126,0,0,0.00388961234,-0.00141944096,0.553336657,0.805548
0,49,2.41698746,0,0,-0.0139618407,-0.00204432,0.796931489,0.805548
0,50,2.46174367,0,0,0.00453371623,-0.00184140806,0.717830899,0.805548
0,51,2.50649988,0,0,0.00483746364,-0.00162490153,0.63343077,0.805548
0,52,2.55125609,0,0,0.000358436119,-0.00160885929,0.627177069,0.805548
0,53,2.5960123,0,0,0.0046808655,-0.0013993615,0.545509137,0.805548
0,54,2.6407685,0,0,0.0257397,-0.000247350127,0.0964238009,0.805548
0,55,2.68552471,0,0,0.0188792092,0.000597611686,-0.232965275,0.805548
0,56,2.73028092,0,0,0.0038046972,0.000767895506,-0.299346535,0.805548
0,57,2.77503713,0,0,0.0210959935,0.00171207218,-0.66741226,0.805548
0,58,2.81979334,0,0,0.00369448626,0.00187742338,-0.731870649,0.805548
0,59,2.86454954,0,0,0.0121387877,0.00242070948,-0.943658337,0.805548
0,60,2.90930575,0,0,-0.017116201,0.00165465323,-0.645028793,0.805548
0,61,2.95406196,0,0,-0.00236892715,0.00154862903,-0.60369768,0.805548
0,62,2.99881817,0,0,0.00742212235,0.00188081509,-0.73319283,0.805548
0,63,3.04357438,0,0,0.00265795548,0.00199977509,-0.779566674,0.805548
0,64,3.08833058,0,0,0.0114526799,0.00251235362,-0.979383711,0.805548
0,65,3.13308679,0,0,-0.0399932538,0.000722407233,-0.28161397,0.805548
0,66,3.177843,0,0,0.00092538853,0.000763824114,-0.297759396,0.805548
0,67,3.22259921,0,0,-0.0147290034,0.000104609776,-0.0407797332,0.805548
0,68,3.26735542,0,0,0.00573689874,0.000361371609,-0.140872473,0.805548
0,69,3.31211162,0,0,-0.00442986215,0.000163107777,-0.0635838438,0.805548
0,70,3.35686783,0,0,0.0166573686,0.000908628432,-0.354208054,0.805548
0,71,3.40162404,0,0,0.0115885412,0.00142728759,-0.556395489,0.805548
0,72,3.44638025,0,0,-0.00839400266,0.00105160386,-0.409943763,0.805548
0,73,3.49113646,0,0,-0.000144361988,0.00104514277,-0.407425052,0.805548
0,74,3.53589266,0,0,-0.0254381983,-9.33745233e-05,0.0363999265,0.805548
0,75,3.58064887,0,0,0.0257217329,0.00105783271,-0.412371934,0.805548
0,76,3.62540508,0,0,-0.0397657412,-0.000721931077,0.281428352,0.805548
0,77,3.67016129,0,0,-0.0435260049,-0.00266999001,1.04083466,0.805548
0,78,3.7149175,0,0,0.0221697368,-0.00167775666,0.654035136,0.805548
0,79,3.7596737,0,0,0.0338261305,-0.000163827324,0.0638643428,0.805548
0,80,3.80442991,0,0,-0.0221329381,-0.00115441371,0.450021833,0.805548
0,81,3.84918612,0,0,-0.00802303003,-0.00151349411,0.590001131,0.805548
0,82,3.89394233,0,0,-0.00348029351,-0.00166925885,0.650722459,0.805548
0,83,3.93869854,0,0,0.0154944606,-0.000975785547,0.380387722,0.805548
0,84,3.98345474,0,0,-0.0130426275,-0.0015595241,0.607944871,0.805548
0,85,4.02821095,0,0,7.11223991e-05,-0.00155634093,0.606703986,0.805548
0,86,4.07296716,0,0,0.00523515791,-0.00132203511,0.515365211,0.805548
0,87,4.11772337,0,0,-0.00205897476,-0.00141418701,0.551288527,0.805548
0,88,4.16247958,0,0,-0.0040716835,-0.00159642013,0.622327947,0.805548
0,89,4.20723578,0,0,0.00327065888,-0.00145003784,0.565264153,0.805548
0,90,4.25199199,0,0,-0.0111215281,-0.00194779526,0.759303522,0.805548
0,91,4.2967482,0,0,0.00459393622,-0.0017421881,0.679152262,0.805548
0,92,4.34150441,0,0,0.00518117882,-0.00151029818,0.588755271,0.805548
0,93,4.38626062,0,0,0.00243787949,-0.00140118794,0.546221134,0.805548
0,94,4.43101682,0,0,-0.00406455429,-0.00158310198,0.617136169,0.805548
0,95,4.47577303,0,0,0.00764087727,-0.00124112528,0.483824362,0.805548
0,96,4.52052924,0,0,0.000510731891,-0.00121826686,0.474913527,0.805548
0,97,4.56528545,0,0,-0.000837880115,-0.0012557672,0.489532178,0.805548
0,98,4.61004166,0,0,-0.000345128869,-0.00127121386,0.495553705,0.805548
0,99,4.65479786,0,0,0.00307935281,-0.0011333937,0.441827664,0.805548
0,100,4.69955407,0,0,0.0118297264,-0.000603940005,0.235432225,0.805548
0,101,4.74431028,0,0,-0.00433541279,-0.000797976641,0.311072979,0.805548
0,102,4.78906649,0,0,0.00010744837,-0.00079316766,0.309198307,0.805548
0,103,4.8338227,0,0,0.00136571341,-0.000732043506,0.285370451,0.805548
0,104,4.8785789,0,0,0.0127441622,-0.00016166313,0.0630206811,0.805548
0,105,4.92333511,0,0,-0.000229447877,-0.000171932347,0.0670239009,0.805548
0,106,4.96809132,0,0,0.00727183927,0.000153527604,-0.059849232,0.805548
0,107,5.01284753,0,0,0.00414997428,0.000339264716,-0.132254606,0.805548
0,108,5.05760374,0,0,0.00680427916,0.00064379845,-0.25097013,0.805548
0,109,5.10235994,0,0,7.83297164e-05,0.000647304191,-0.252336763,0.805548
